Test_Number,Experiment_ID,Profile,Start_X,Start_Y,Goal_X,Goal_Y,Euclidean_Distance,Dijkstra_Success,Dijkstra_Path_Length,Dijkstra_Cost,AStar_Success,AStar_Path_Length,AStar_Cost,Safety_Success,Safety_Path_Length,Safety_Cost,Balanced_Success,Balanced_Path_Length,Balanced_Cost
1,11,Offensive,184.31,377.03,73.63,103.45,295.11,1,28,29.2271,1,28,29.2271,1,56,6.2123,1,28,5.4096
1,11,Neutral,184.31,377.03,73.63,103.45,295.11,1,28,38.2271,1,28,38.2271,1,56,8.0456,1,28,7.2128
1,11,Defensive,184.31,377.03,73.63,103.45,295.11,1,28,56.2271,1,28,56.2271,1,56,11.7123,1,28,10.8192
1,11,Dynamic,184.31,377.03,73.63,103.45,295.11,1,28,29.2271,1,28,29.2271,1,56,6.2123,1,28,5.4096
1,12,Offensive,394.19,38.17,260.57,232.55,235.88,1,21,22.5257,1,21,23.2396,1,29,2.8,1,21,5.1335
1,12,Neutral,394.19,38.17,260.57,232.55,235.88,1,21,29.1923,1,21,29.1923,1,29,3.7333,1,21,6.0972
1,12,Defensive,394.19,38.17,260.57,232.55,235.88,1,21,42.5257,1,21,42.5257,1,29,5.6,1,21,8.4904
1,12,Dynamic,394.19,38.17,260.57,232.55,235.88,1,21,22.5257,1,21,23.2396,1,29,2.8,1,21,5.1335
1,13,Offensive,124.39,346.87,308.83,463.11,218.01,1,23,35.7544,1,23,36.1209,1,40,66.0995,1,23,16.2195
1,13,Neutral,124.39,346.87,308.83,463.11,218.01,1,19,41.9606,1,20,42.2,1,40,67.3995,1,23,21.626
1,13,Defensive,124.39,346.87,308.83,463.11,218.01,1,19,53.9606,1,19,53.9606,1,40,69.9995,1,30,23.7906
1,13,Dynamic,124.39,346.87,308.83,463.11,218.01,1,23,38.0877,1,23,38.4542,1,40,66.2329,1,23,22.8708
1,14,Offensive,221.65,358.22,132.52,51.76,319.15,1,35,45.082,1,35,45.082,1,55,81.9889,1,40,16.7544
1,14,Neutral,221.65,358.22,132.52,51.76,319.15,1,35,56.4153,1,35,56.4153,1,55,83.7889,1,59,19.693
1,14,Defensive,221.65,358.22,132.52,51.76,319.15,1,34,78.8853,1,34,78.8853,1,50,87.1011,1,48,26.4974
1,14,Dynamic,221.65,358.22,132.52,51.76,319.15,1,35,46.4153,1,35,46.4153,1,55,82.1222,1,40,22.2042
1,15,Offensive,150.31,412.98,395.95,145.47,363.19,1,35,43.5352,1,35,43.8248,1,45,71.7314,1,33,16.8235
1,15,Neutral,150.31,412.98,395.95,145.47,363.19,1,35,54.8685,1,35,54.8685,1,45,73.1981,1,35,18.695
1,15,Defensive,150.31,412.98,395.95,145.47,363.19,1,33,76.7773,1,33,76.7773,1,45,76.1314,1,35,28.0425
1,15,Dynamic,150.31,412.98,395.95,145.47,363.19,1,35,44.8685,1,35,45.1581,1,45,71.8647,1,35,19.0022
1,16,Offensive,20.35,169.67,297.19,314.01,312.21,1,31,33.9521,1,31,34.1373,1,32,38.5179,1,31,10.4705
1,16,Neutral,20.35,169.67,297.19,314.01,312.21,1,31,43.9521,1,31,43.9521,1,32,39.5512,1,31,13.4864
1,16,Defensive,20.35,169.67,297.19,314.01,312.21,1,31,63.9521,1,31,63.9521,1,32,41.6179,1,31,19.4698
1,16,Dynamic,20.35,169.67,297.19,314.01,312.21,1,31,34.2854,1,31,34.4707,1,32,38.5512,1,31,11.2053
1,17,Offensive,231.48,447.12,273.88,409.29,56.83,1,5,4.8702,1,5,4.8702,1,5,9.1025,1,5,0.9302
1,17,Neutral,231.48,447.12,273.88,409.29,56.83,1,5,6.2036,1,5,6.2036,1,5,9.2358,1,5,1.2403
1,17,Defensive,231.48,447.12,273.88,409.29,56.83,1,5,8.8702,1,5,8.8702,1,5,9.5025,1,5,1.8605
1,17,Dynamic,231.48,447.12,273.88,409.29,56.83,1,5,4.8702,1,5,4.8702,1,5,9.1025,1,5,0.9302
1,18,Offensive,235.22,55.26,437.36,115.76,211.0,1,21,20.0,1,21,20.1645,1,21,2.0,1,21,1.6559
1,18,Neutral,235.22,55.26,437.36,115.76,211.0,1,21,26.6667,1,21,26.6667,1,21,2.6667,1,21,2.0469
1,18,Defensive,235.22,55.26,437.36,115.76,211.0,1,21,40.0,1,21,40.0,1,21,4.0,1,21,2.8771
1,18,Dynamic,235.22,55.26,437.36,115.76,211.0,1,21,20.0,1,21,20.1645,1,21,2.0,1,21,1.6559
1,19,Offensive,472.74,77.68,33.48,124.9,441.79,1,46,47.7941,1,46,47.988,1,48,17.799,1,48,11.6407
1,19,Neutral,472.74,77.68,33.48,124.9,441.79,1,46,62.7941,1,46,62.7941,1,48,19.3657,1,48,14.5804
1,19,Defensive,472.74,77.68,33.48,124.9,441.79,1,46,92.7941,1,46,92.7941,1,48,22.499,1,48,21.8706
1,19,Dynamic,472.74,77.68,33.48,124.9,441.79,1,46,47.7941,1,46,47.988,1,48,17.799,1,48,11.6407
1,20,Offensive,63.59,297.54,61.43,430.04,132.52,1,17,20.6088,1,17,20.6088,1,57,21.6745,1,21,5.9576
1,20,Neutral,63.59,297.54,61.43,430.04,132.52,1,17,25.9421,1,17,25.9421,1,57,23.5412,1,20,7.5343
1,20,Defensive,63.59,297.54,61.43,430.04,132.52,1,17,36.6088,1,17,36.6088,1,57,27.2745,1,20,11.3987
1,20,Dynamic,63.59,297.54,61.43,430.04,132.52,1,17,20.9421,1,17,20.9421,1,57,21.7079,1,21,6.4934
1,21,Offensive,136.3,85.19,343.22,458.74,427.03,1,43,44.7779,1,43,45.76,1,67,12.1078,1,43,11.8359
1,21,Neutral,136.3,85.19,343.22,458.74,427.03,1,43,58.7779,1,43,58.7779,1,67,14.3078,1,43,15.1823
1,21,Defensive,136.3,85.19,343.22,458.74,427.03,1,38,85.9687,1,38,85.9687,1,67,18.7078,1,43,20.4917
1,21,Dynamic,136.3,85.19,343.22,458.74,427.03,1,43,44.7779,1,43,45.76,1,67,12.1078,1,43,11.8359
1,22,Offensive,152.27,284.99,262.99,467.93,213.84,1,29,29.2349,1,29,29.5049,1,30,9.0328,1,22,11.3248
1,22,Neutral,152.27,284.99,262.99,467.93,213.84,1,19,36.6566,1,19,36.7575,1,30,9.9994,1,23,13.7239
